Study number,Study authors & year,Number of samples,Number of mislabeled samples,fraction fish mislabeled,Fraud map category,Sampling Area (where retail fish purchased),Country,Date of Study,repeat?,fish name (sortable),seafood type,Label,Actual. (Latin),Actual. (Common),Species group,Total. N (mislabeled),Point in supply chain,Amount of processing,Notes,Health Risk,Species Geographic Range,IUCN Conservation Status,Reference ,Publishing date,Type of study,Website,In fraud map?,Fraud Map ID#,In endnote?,Mislabeling (DNA verified),Potentially Farmed?,farmed n,Fraud/mislabeling?,,,,,,,,,
4,Hsieh et al. 1995,121,63,0.52,50-75,Florida,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus analis,Mutton Snapper,snapper,3,retail/fish dealer,,"red snapper overall - 81 samples, 70% mislabeled; of this species swap = 3 samples",NT,,VU,"Hsieh, Y.-H. P., Woodward, B. B., & Blanco, A. W. (1995). Species substitution of retail snapper fillets. Journal. of Food Quality, 18(2), 131-140. doi: DOI: 10.1111/j.1745-4557.1995.tb00368.x",1995,Peer Reviewed Journal. Article,,yes,18,yes,yes,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus griseus,Gray Snapper,snapper,7,retail/fish dealer,,7 samples,NT,,LC,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus malabaricus,Malabar Snapper,snapper,4,retail/fish dealer,,4 samples,NT,,NE,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus sanguineus,Blood-Red Snapper,snapper,26,retail/fish dealer,,26 samples,NT,,NE,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus synagris,Lane Snapper,snapper,4,retail/fish dealer,,4 samples  ,NT,,NE,,1995,,,yes,,yes,,,,,,,0.75862069,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Not Specified,Not Specified,Not Specified,10,retail/fish dealer,,10 samples,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Ocyurus chrysurus,Yellowtail Snapper ,snapper,1,retail/fish dealer,,1 sample,,,DD,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Rhomboplites aurorubens,Vermilion snapper,snapper,2,retail/fish dealer,,2 samples,NT,,VU,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, scarlet red",snapper,scarlet red snapper,Not Specified,Not Specified,Not Specified,1,retail/fish dealer,,1 sample,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,US,USA,1995,,"snapper, White",snapper,White snapper,Not Specified,Not Specified,Not Specified,1,retail/fish dealer,,1 sample,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
5,Consumer Reports 2006,50,13,0.26,25-50,US,USA,2005-2006,,"salmon, Wild",salmon,Wild Salmon,Salmo salar,Atlantic salmon,salmon,13,retail,,"13/23 (56%) ""wild slamon"" purchsed off season (Nov, Dec, March) were farmed, but all ""wild salmon"" purchased in summer (n=27) were wild",EC+AqD+P,,,"Consumer Reports (2006). The salmon scam: ""wild"" often isn't. Consumer Reports, 15.",2006,NGO Report,,yes,3,yes,yes,yes,13,,,,,,,,,,
6,Vasquez 2009,100,50,0.5,25-50,"US: CA, NY, NC, MO, FL",USA,2009,,grouper,grouper,"snapper, grouper",Not Specified,Not Specified,Not Specified,25,retail,,"More than half of 100 restuarants plates sampled serving ""grouper or snapper"" was not the named fish. Tested by Mahmood Shivji, Nova Southestern U, unpublished.",,,,"Vasquez, Michael. ""Snapper on Your Plate May Be an Imposter."" The Miami Herald, August 23, 2009 2009.",2009,Journalism (Secondary),,yes,19,yes,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Vasquez 2009,,,,,"US: CA, NY, NC, KC, FL",USA,,,snapper,snapper,"snapper, grouper",Not Specified,Not Specified,Not Specified,25,retail,,"More than half of 100 restuarants plates sampled serving ""grouper or snapper"" was not the named fish. Tested by Mahmood Shivji, Nova Southestern U, unpublished.",,,,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,anchovy,anchovy,dried silver anchovies,Protosalanx chinensis ,Icefish (3),icefish,1,retail,,,na,,DD,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,catfish,catfish,Frozen Yellow Catfish,Clarias batrachus,Walking catfish,catfish,1,retail,,,EC,,LC,,2009,,,yes,,yes,,yes,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,"caviar, Sturgeon ","caviar, Sturgeon ",Sturgeon Caviar,Polyodon spathula,American paddlefish,caviar/roe,1,retail,,,EC,,VU,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,"Grouper, Jew fish",grouper,Jew Fish,Nemipterus furcosus,Fork-tail threadfin bream,seabream,1,retail,,,na,,NE,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,lancelet,lancelet,Branchiostoma Lancelet Amphioxus (Chinese translation),Protosalanx chinensis ,Icefish (3),icefish,1,retail,,,na,,DD,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,27,9,0.33,25-50,NY,USA,2009,,mackerel,mackerel,dried mackerel,Sardinella melanura,Bleeker's blacktip sardinella,sardine,9,retail,,"33% (9/27) seafood smples mislabled. Analyzed by Amato, Amercian Museaum of Natural. History.",H,,NE,"Robinson, J. (2009). Through DNA Testing, Two Students Learn What's What in Their Neighborhood, New York Times. Retrieved from http://query.nytimes.com/gst/fullpage.html?res=9A03E0DE1130F93BA15751C1A96F9C8B63",2009,Journalism (Secondary),,yes,8,yes,yes,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,,,shark,shark,shark meat,Lates niloticus,Nile perch,perch,1,retail,,,EC,,LC,,2009,,,yes,,yes,,yes,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,2009,,smelt,smelt,dried olidus from Japan (smelt),Engraulis japonicus,Japanese anchovy,anchovy,1,retail,,,NT+H,,NE,,2009,,,yes,,yes,,,,,,,,,,,,,
7,Robinson 2009,,,,,NY,USA,2009,,"snapper, Red",snapper,Red snapper,Lutjanus malabaricus,Malabar Snapper,snapper,1,retail,,,NT,,NE,,2009,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"Bass, Sea","Bass, Sea",seabass,Morone chrysops,White bass,bass,1,retail,,"a freshwater fish, often farmed",EC+AqD,,LC,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"Bass, Sea","Bass, Sea",sea bass sushi,Morone saxatilis,Striped bass,bass,1,retail,,,EC+AqD,,LC,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
