Study number,Study authors & year,Number of samples,Number of mislabeled samples,fraction fish mislabeled,Fraud map category,Sampling Area (where retail fish purchased),Country,Date of Study,repeat?,fish name (sortable),seafood type,Label,Actual. (Latin),Actual. (Common),Species group,Total. N (mislabeled),Point in supply chain,Amount of processing,Notes,Health Risk,Species Geographic Range,IUCN Conservation Status,Reference ,Publishing date,Type of study,Website,In fraud map?,Fraud Map ID#,In endnote?,Mislabeling (DNA verified),Potentially Farmed?,farmed n,Fraud/mislabeling?,,,,,,,,,
92,Grogan 1992,10,5,0.5,25-50,Florida,USA,1992,,"snapper, Red",snapper,red snapper,not specified,not specified,Not Specified,5,retail,,5 out of 10 red snapper (state samples),NT,,,"Grogan, John. ""Seafood Labeling Plenty Fishy, State Study Says."" Sun Sentinel, June 18, 1992.",1992,Journalism (Secondary),,yes,,yes,,,,,,,,,,,,,
97,Shaikh 2012,not specified,not specified,0.25,25-50 (not in calculations),New York,USA,2012,,fluke,fluke,fluke,Paralichthys dentatus,summer flounder,flounder,,retail (grocery/restaurant),,,P+EC,,LC,"Shaikh, S. (2012). Educational. Posters: Mislabeling in the Sushi Industry. In Vitro Cellular & Developmental. Biology - Animal, 48(Supplement 1), S53-S54. doi: 10.1007/s11626-012-9501-4",2012,Peer Reviewed Journal. Article,,no,,yes,yes,,,,,,,,,,,,
97,Shaikh 2012,,,,,New York,USA,2012,,Salmon,salmon,salmon,Oncorhynchus mykiss,Rainbow trout,trout,,,,info from a college poster abstract,EC+AqD,,NE,,2012,,,no,,yes,,yes,1,,,,,,,,,,
97,Shaikh 2012,,,,,New York,USA,2012,,"snapper, Red",snapper,red snapper,Oreochromis niloticus,Nile Tilapia,Tilapia,1,,,,EC+AqD,,,,2012,,,no,,yes,,yes,1,,,,,,,,,,
97,Shaikh 2012,,,,,New York,USA,2012,,"Tuna, White",Tuna,white tuna,Lepidocybium flavobrunneum,escolar,Escolar/oilfish,,,,,M+H+P,,LC,,2012,,,no,,yes,,,,,,,,,,,,,
98,Hong 2014,169,169,1,instance,Florida - Jacksonville area,USA,2006-present,,crab,crab,crab,Not Specified,imitation crab,white fish,125,retail,,"125 observations of fraud; also 1 observation of expired seafood being sold and 2 observations of restaurants with ""no MSG"" sign serving food with MSG",,,,"Hong, C. (2014). At some restaurants, the fish on the plate isn't always what the customer orders, Florida Times Union. April 29, 2014. Retrieved from ",2014,Journalism (Primary),http://members.jacksonville.com/news/florida/2014-04-29/story/fish-plate-isnt-always-what-customer-orders ,yes,98,yes,,,,,,,,,,,,,
98,Hong 2014, ,,,,Florida - Jacksonville area,USA,2014,,flounder,Flounder,flounder,Glyptocephalus zachirus,rex sole,sole,1,retail,,1 observation of fraud,P,,NE,,2014,,,yes,,yes,,,,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Oreochromis spp.,Tilapia,Tilapia,1,retail,,1 observation of fraud,EC+AqD,,,,2014,,,yes,,yes,,yes,1,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Not Specified,Not Specified,Not Specified,1,retail,,1 observation of fraud,,,,,2014,,,yes,,yes,,,,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Clarias macrocephalus,broadhead fish,catfish,1,retail,,1 observation of fraud,EC,,NT,,2014,,,yes,,yes,,,,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Not Specified,banga,banga,1,retail,,1 observation of fraud,,,,,2014,,,yes,,yes,,,1,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",4,retail,,4 observations of fraud,EC+AqD,,,,2014,,,yes,,yes,,yes,4,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Pangasius bocourti,Basa (Catfish),"catfish, asian ",4,retail,,4 observations of fraud,EC+AqD,,,,2014,,,yes,,yes,,yes,4,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,grouper,grouper,grouper,Pangasius bocourti,Basa (Catfish),"catfish, asian ",3,retail,,3 observations of fraud,EC+AqD,,,,2014,,,yes,,yes,,yes,3,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,scallop,scallop,scallop,Not Specified,imitation scallop,scallop,5,retail,,5 observations of fraud,,,,,2014,,,yes,,yes,,,,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,"snapper, Red",snapper,red snapper,Not Specified,Not Specified,Not Specified,1,retail,,1 observation of fraud,,,,,2014,,,yes,,yes,,,,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,"snapper, Red",snapper,red snapper,Oreochromis spp.,Tilapia,Tilapia,2,retail,,2 observations,EC+AqD,,,,2014,,,yes,,yes,,yes,2,,,,,,,,,,
98,Hong 2014,,,,,Florida - Jacksonville area,USA,2014,,"Tuna, White",Tuna,white tuna,Lepidocybium flavobrunneum,escolar,Escolar/oilfish,24,retail,,24 observations of fraud,M+H+P,,LC,,2014,,,yes,,yes,,,,,,,,,,,,,
100,Roman & Bowen 2000,32,8,0.25,25-50,Louisiana and Florida,USA,1995 and 1998,,turtle,turtle,turtle,Alligator mississippiensis,American alligator,alligator,8,retail,,8 samples,EC,,LC,"Roman, J., & Bowen, B. W. (2000). The mock turtle syndrome: genetic identification of turtle meat purchased in the south-eastern United States of America. Animal. Conservation, 3(1), 61-65. ",2000,Peer Reviewed Journal. Article,,yes,23,yes,yes,,,,,,,,,,,,
100,Roman & Bowen 2000,,,,,Louisiana and Florida,USA,,,turtle,turtle,turtle,Apalone ferox,Florida softshell turtle,freshwater turtle,0,retail,,not fraudulent; 3 samples,EC,,LC,,2000,,,yes,,yes,,,,,,,,,,,,,
100,Roman & Bowen 2000,,,,,Louisiana and Florida,USA,,,turtle,turtle,turtle,Apalone spp,softshell turtle,freshwater turtle,0,retail,,not fraudulent; 1 sample,,,,,2000,,,yes,,yes,,,,,,,,,,,,,
100,Roman & Bowen 2000,,,,,Louisiana and Florida,USA,,,turtle,turtle,turtle,Chelydra serpentina,common snapping turtle,freshwater turtle,0,retail,,not fraudulent; 19 samples,EC,,LC,,2000,,,yes,,yes,,,,,,,,,,,,,
100,Roman & Bowen 2000,,,,,Louisiana and Florida,USA,,,turtle,turtle,turtle,Macroclemys temminckii,alligator snapping turtle,freshwater turtle,1,retail,,1 sample; M. temminckii is a protected species,na,,VU,,2000,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,cod,cod,cod,Morone saxatilis,Striped bass,bass,1,retail,,number of samples of each substitution not listed,EC+AqD,,LC,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,cod,cod,cod,Sebastes miniatus,vermilion rockfish,rockfish,1,retail,,number of samples of each substitution not listed,P,,NE,,2012,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"crab, Blue ",crab,blue crabmeat,Not Specified,"crabmeat, imported",crab,1,retail,,number of samples of each substitution not listed,,,,,2012,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,halibut,halibut  ,halibut,Pleuronectoidei (Sub Ord.),flounder,flounder,1,retail,,number of samples of each substitution not listed,,,,,2012,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"perch, lake ",perch,lake or yellow perch,Oreochromis spp.,Tilapia,Tilapia,1,retail,,number of samples of each substitution not listed,EC+AqD,,,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,snapper,snapper,snapper (Lutjanus spp.),Pollachius spp.,pollack,pollock,1,retail,,number of samples of each substitution not listed,P,,,,2012,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,snapper,snapper,snapper (Lutjanus spp.),Oreochromis spp.,Tilapia,Tilapia,1,retail,,number of samples of each substitution not listed,EC+AqD,,,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,103,76,0.74,50-75,"Los Angeles, CA, USA",USA,2012,,"snapper, Red",snapper,red snapper,Morone saxatilis,Striped bass,bass,1,retail,,number of samples of each substitution not listed,EC+AqD,,LC,"Fielding, J. (2012). Mislabeled Seafood Sold in Restaurants and Grocery Stores.  Los Angeles, California Los Angeles County.  November 1, 2012. Retrieved from ",2012,Government Report,http://file.lacounty.gov/bc/q2_2012/cms1_178178.pdf,yes,100,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"snapper, Red",snapper,red snapper,Pagrus major,Red seabream,seabream,1,retail,,number of samples of each substitution not listed,,,LC,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"snapper, Red",snapper,red snapper,Sebastes spp.,rockfish ,rockfish,1,retail,,number of samples of each substitution not listed,P,,,,2012,,,yes,,yes,,,,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"snapper, Red",snapper,red snapper,Oreochromis spp.,Tilapia,Tilapia,1,retail,,number of samples of each substitution not listed,EC+AqD,,,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
101,Fielding 2012,,,,,"Los Angeles, CA, USA",USA,2012,,"sole, Dover",sole,dover sole  ,Not Specified,Not Specified-other variations of sole,Not Specified,1,retail,,number of samples of each substitution not listed,,,,,2012,,,yes,,yes,,,,,,,,,,,,,
102,Birstein et al. 1998,95,22,0.23,0-25,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",beluga (sturgeon),Acipenser stellatus,starry sturgeon,caviar/roe,1,retail,,"All were lots of caviar from species of sturgeon (except American paddlefish, which is closely related). ",EC+AqD,,CR,"Birstein, V., Doukakis, P., Sorkin, B., & DeSalle, R. (1998). Population Aggregation Analysis of Three Caviar-Producing Species of Sturgeons and Implications for the Species Identification of Black Caviar. Conservation Biology, 12(4), 766-775. doi: 10.1046/j.1523-1739.1998.97081.x",1998,Peer Reviewed Journal. Article,,yes,,yes,yes,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",sevruga (sturgeon),Acipenser baerii,Siberian sturgeon,caviar/roe,1,retail,,"The Beluga, Russian Sturgeon (osetra), and sevruga were the 3 main species of sturgeon exploited for caviar.  Persian, Adriatic and Siberian smaples found here",EC+AqD,,EN,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",beluga (sturgeon),Acipenser gueldenstaedtii,Russian sturgeon,caviar/roe,1,retail,,"Beluga numbers are extremely low, but their caviar is worth $20-60 per ounce, so there is incentive to mislabel other species as beluga",EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",American Caviar,Acipenser gueldenstaedtii,Russian sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",American Caviar,Acipenser gueldenstaedtii,Russian sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",osetra (sturgeon),Acipenser naccarii,Adriatic sturgeon,caviar/roe,1,retail,,"The Beluga, Russian Sturgeon (osetra), and sevruga were the 3 main species of sturgeon exploited for caviar.  Persian, Adriatic and Siberian smaples found here",EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",sevruga (sturgeon),Acipenser nudiventris,bastard sturgeon,caviar/roe,1,retail,,"many species of sturgeon are doing poorly, so the mislabeling poses a conservation concern",EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",osetra (sturgeon),Acipenser nudiventris,bastard sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",beluga (sturgeon),Acipenser persicus,Persian sturgeon,caviar/roe,1,retail,,"The Beluga, Russian Sturgeon (osetra), and sevruga were the 3 main species of sturgeon exploited for caviar.  Persian, Adriatic and Siberian smaples found here",EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",eastern beluga,Acipenser schrenckii,Amur sturgeon,caviar/roe,1,retail,,"""eastern beluga"" is the US trade name of the beluga (Huso huso)",EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",river beluga,Acipenser schrenckii,Amur sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",osetra (sturgeon),Acipenser stellatus,starry sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",osetra (sturgeon),Acipenser transmontanus,white sturgeon,caviar/roe,1,retail,,,EC+AqD,,LC,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",American Caviar,Huso huso,beluga Sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",sevruga (sturgeon),Huso huso,beluga Sturgeon,caviar/roe,1,retail,,,EC+AqD,,CR,,1998,,,yes,,yes,,yes,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",American Caviar,Polyodon spathula,American paddlefish,caviar/roe,1,retail,,,EC,,VU,,1998,,,yes,,yes,,,,,,,,,,,,,
102,Birstein et al. 1998,,,,,"New York City, New Jersey, Massachusetts, Florida",USA,1998,,"caviar, Sturgeon ","caviar, Sturgeon ",sevruga (sturgeon),Polyodon spathula,American paddlefish,caviar/roe,1,retail,,"Ameican caviar is considered worse than Russian caviar, so is cheaper ($10/ounce) and is sometimes used but called a Russian species, as it is here",EC,,VU,,1998,,,yes,,yes,,,,,,,,,,,,,
103,Cohen 1997,,,,instance,New Jersey,USA,1985-1990,,"caviar, Sturgeon ","caviar, Sturgeon ",beluga,Acipenser transmontanus,white sturgeon,caviar/roe,1,retail,,Is economically motivated (took what would be a $130/pound product and sold it for $600/pound),EC+AqD,,LC,"Cohen, A. (1997). Sturgeon poaching and black market caviar: a case study. Environmental. Biology of Fishes, 48, 423-426. doi: 10.1023/A:1007388803332",1997,Peer Reviewed Journal. Article,,yes,,yes,,yes,,,,,,,,,,,
103,Cohen 1997,,,,,New Jersey,USA,1985-1990,,"caviar, Sturgeon ","caviar, Sturgeon ",osetra,Acipenser transmontanus,white sturgeon,caviar/roe,1,retail,,the white sturgeon was poached from the Columbia River. No charges were brought for the mislabeling.,EC+AqD,,LC,,1997,,,yes,,yes,,yes,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,barramundi,barramundi,barramundi,Not Specified,Not Specified,Not Specified,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"Bass, Sea","Bass, Sea",sea bass,Oreochromis spp.,tilapia,tilapia,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"Bass, Striped",bass,striped bass,Not Specified,Flounder,Flounder,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"cod, Atlantic",cod,Atlantic cod,Not Specified,Not Specified,Not Specified,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,flounder,Flounder,flounder,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,grouper,grouper,grouper,Not Specified,Rockfish,Rockfish,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"grouper, black",grouper,black grouper,Not Specified,Not Specified,Not Specified,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,Salmon,salmon,salmon,Salmo salar,Atlantic salmon,salmon,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"salmon, Chilean",salmon,Chilean salmon,Salmo salar,Atlantic salmon,salmon,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"salmon, Norwegian",salmon,Norwegian salmon,Salmo salar,Atlantic salmon,salmon,2,retail,,n=2,EC+AqD+P,,,,2015,,,yes,,,,yes,2,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"salmon, Pacific",salmon,Pacific salmon,Salmo salar,Atlantic salmon,salmon,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"salmon, Scottish",salmon,Scottish salmon,Salmo salar,Atlantic salmon,salmon,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"salmon, Wild",salmon,wild caught salmon,Salmo salar,Atlantic salmon,salmon,1,retail,,,EC+AqD+P,,,,2015,,,yes,,,,yes,1,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"snapper, Red",snapper,red snapper,Oreochromis spp.,tilapia,tilapia,2,retail,,n=2,EC+AqD,,,,2015,,,yes,,,,yes,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"Tuna, Albacore",Tuna,albacore tataki,Scombridae (fam),tuna,tuna,1,retail,,,,,,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,"Tuna, White",Tuna,white tuna,Lepidocybium flavobrunneum,escolar,Escolar/oilfish,3,retail,,n=3,M+H+P,,LC,,2015,,,yes,,,,,,,,,,,,,,,
107,Stader 2015,84,23,0.27,25-50,"St. Louis, MO",USA,2015,,whitefish,whitefish,Alaskan whitefish,Pollachius spp.,pollack,pollock,1,retail,,,P,,,"Stader, J. (2015)  Saint Louis Survey on Seafood Mislabeling. BonafID",2015,Industry Report,http://www.bonafidcatch.com/assets/bonafid_study2015.pdf,yes,,yes,yes,,,,,,,,,,,,
107,Stader 2015,,,,,"St. Louis, MO",USA,2015,,yellowtail,yellowtail,yellowtail,Seriola spp.,amberjack,Amberjack,3,retail,,n=3,H,,,,2015,,,yes,,,,,,,,,,,,,,,
109,Reed 2006 (USA Today),,,,instance,"Panama City, FL",USA,2006,,grouper,grouper,grouper,Not Specified,Catfish,"catfish, asian ",1,"distributor, import",,"""In May, a federal. grand jury indicted two Panama City, Fla., importers and several. Vietnamese catfish suppliers for packaging more than a million pounds of catfish filets and labeling them as wild-caught grouper""",EC+AqD,,,"Reed, M. (2006). Florida restaurants fight off fake grouper, Florida Today. November 21, 2006. Retrieved from http://usatoday30.usatoday.com/news/nation/2006-11-21-florida-fake-grouper_x.htm ",2006,Journalism (Secondary),http://usatoday30.usatoday.com/news/nation/2006-11-21-florida-fake-grouper_x.htm ,yes,,yes,,yes,1,,,,,,,,,,
109,Reed 2006 (USA Today),,,,,"Hialeah, FL",USA,2006,,grouper,grouper,grouper,Not Specified,Catfish,"catfish, asian ",1,"distributor, import",,"""the same week, inspectors for the state Department of Agriculture & Consumer Services intercepted nearly 8,000 pounds of Vietnamese farm-raised broadhead filets (in the catfish family) that were packaged and labeled as more expensive Florida fish. Inspectors watched workers pull filets from boxes labeled ""catfish"" and put them into boxes labeled ""grouper.""""",EC+AqD,,,,2006,,,yes,,yes,,yes,1,,,,,,,,,,
110,DOJ 2012,,,,instance,Sentencing in Los Angeles California,USA,2012,,grouper,grouper,Paradise Grouper,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",,importer,,"boxes were labelled as both ""Paradise Grouper"" and ""ponga"". Were imported as ""ponga"". The company (Seafood Solutions Inc.) was fined $1 million. Two individuals were also convicted.",EC+AqD,,,United States Department of Justice. (2012a) California seafood corporation sentenced to pay $1 million for false labeling of seafood products. Department of Justice Office of Public Affairs Retrieved from http://www.justice.gov/opa/pr/2012/February/12-enrd-171.html.,2012,Government Report,,yes,,yes,,yes,1,,,,,,,,,,
110,DOJ 2012,,,,,Sentencing in Los Angeles California,USA,2012,,grouper,grouper,Falcon Baie Grouper,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",,importer,,"Boxes labelled as both ""Falcon Baie Grouper"" and ""ponga""",EC+AqD,,,,2012,,,yes,,yes,,yes,1,,,,,,,,,,
111,NOAA 2007,,,,instance,"Panama City, FL",USA,2002-2005,,grouper,grouper,grouper,Pangasius bocourti,Basa (Catfish),"catfish, asian ",,importer,,"Intentionally mislabelled thousands of pounds of Vietnamese catfish. Danny Nguyen received 51 months in prison and 3 years supervised release. His two companies (Panhandle Seafood Inc and Panhandle Trading Inc) also faced penalties. PSI forfeited its real. property, a vehicle, and faces 5 years probation. PTI must pay $1.13 million and also has 5 years probation.",EC+AqD,,,134. National Oceanic and Atmospheric Administration. (2007) Seafood importer and associated corporations receive imprisonment and fines. ,2007,Government Report,http://www.publicaffairs.noaa.gov/releases2007/jan07/noaa07-r101.html,yes,,yes,,yes,1,,,,,,,,,,
113,FoxChicago 2013,,,,instance,"Chicago, IL",USA,2007-2010,yes #158,catfish,catfish,catfish,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",,distributor,,"Patrick Bruno was fined $100,000 and sentenced to 5 years probation (the first 6 months of which under house arrest) for mislabelling fish to sell them for more",EC+AqD,,,"Chicago, Fox News. (2013). Addison seafood distributor fined for mislabeling fish, shrimp. Fox Chicago. Chicago.",2013,Journalism (Secondary),,no,,yes,,yes,1,,,,,,,,,,
113,FoxChicago 2013,,,,,"Chicago, IL",USA,2007-2010,yes #158,"snapper, Pacific",snapper,pacific snapper,Not Specified,perch,perch,1,distributor,,,EC,,,,2013,,,no,,yes,,,,,,,,,,,,,
113,FoxChicago 2013,,,,,"Chicago, IL",USA,2007-2010,yes #158,"snapper, Red",snapper,red snapper,Not Specified,perch,perch,1,distributor,,,EC,,,,2013,,,no,,yes,,,,,,,,,,,,,
114,Jackson 2010 ,,,,instance,"Gastonia, NC",USA,not specified,,Salmon,salmon,Atlantic salmon,Oncorhynchus mykiss,Rainbow trout,trout,1,distributor,,"Food Lion ceased doing business with supplier, Fresher than Fresh, after learning that Fresher than Fresh intentionally supplied steelhead trout labelled as Atlantic salmon.",EC+AqD,,NE,"Jackson, Daniel. ""Gastonia Company Admits to Mislabeling Fish Sold to Grocery Chain."" Gaston Gazette May 26, 2010 2010.",2010,Journalism,,yes,,yes,,yes,1,,,,,,,,,,
117,Nohlgren 2006,18,8,0.44,25-50,"Volusia county, FL",USA,2006,removed the repeat of ref 71,grouper,grouper,Sorrento grouper,Not Specified,Asian catfish,"catfish, asian ",3,retail (restaurant),,"One of the fish was an Asian catfish labeled as ""Sorrento Grouper""",,,,"Nohlgren, S. (2006). How to prove it's grouper?, Tampa Bay Times. December 6, 2006. Retrieved from http://www.sptimes.com/2006/12/06/State/How_to_prove_it_s_gro.shtml",2006,Journalism (Secondary),http://www.sptimes.com/2006/12/06/State/How_to_prove_it_s_gro.shtml,yes,,yes,yes,,1,,,,,,,,,,
117,Nohlgren 2006,,,,,"Volusia county, FL",USA,2006,,grouper,grouper,grouper,Lethrinidae (Fam.),emperors/scavengers,emperors/scavengers,1,retail (restaurant),,"Grouper and emperorfish are similar species that swim together, so this was likely an issue of the fish all being lumped as one species at harvest. Trying to pressure foreign suppliers to stop doing that.",,,,,2006,,,yes,,yes,,,,,,,,,,,,,
117,Nohlgren 2006,,,,,"Fort Myers, Florida",USA,2006,,grouper,grouper,grouper,Not Specified,Not Specified,Not Specified,4,retail (restaurant),,"Many restaurants saying they were buying and receiving boxes labeled grouper, so are being duped themselves by someone in the supply chain",,,,,2006,,,yes,,yes,,,,,,,,,,,,,
118,Nohlgren 2007,24,17,0.71,50-75,"Tallahassee, Florida",USA,2007,,grouper,grouper,grouper,Pangasius bocourti,Basa (Catfish),"catfish, asian ",1,retail (restaurant),,,EC+AqD,,,"Nohlgren, S. (2007). State finds more grouper imposters, Tampa Bay Times. January 29, 2007. ",2007,Journalism (Secondary),http://www.sptimes.com/2007/01/29/State/State_finds_more_grou.shtml ,yes,,yes,yes,yes,1,,,,,,,,,,
118,Nohlgren 2007,,,,,"Tampa Bay, Florida",USA,2007,,grouper,grouper,grouper,Not Specified,Not Specified,Not Specified,1,retail (restaurant),,,,,,,2007,,,yes,,yes,,,,,,,,,,,,,
